type,vehicle_id,operator,prev_route,prev_headsign,prev_last_stop_planned,next_route,next_headsign,next_first_stop_planned,deadhead_start,deadhead_end,duration_min,period,day_type,from_stop_observed,to_stop_observed,from_lat,from_lon,to_lat,to_lon,move_m,speed_kmh,dwell_start_min,dwell_end_min,deadhead_label,beräknad_körtid_min
observed,9031001001004695,Keolis,117,-,Brommaplan,117,-,Kopparbacken,2025-03-17 06:47:24,2025-03-17 06:53:02,5.6,FM-topp,Vardag,Brommaplan,Urban Hjärnes väg,59.338340759277344,17.93792152404785,59.34963607788086,17.92290687561035,1517.3,16.3,0.0,0.0,Brommaplan → Urban Hjärnes väg,4.1
observed,9031001001004046,Keolis,222,-,Ropsten,222,-,Södergarnsvägen,2025-03-17 06:49:24,2025-03-17 06:55:02,5.6,FM-topp,Vardag,Ropsten,Dalängen,59.357398986816406,18.102035522460938,59.370880126953125,18.12775611877441,2090.7,22.4,0.0,0.0,Ropsten → Dalängen,4.3
observed,9031001001007471,Keolis,225,-,Ropsten,205,-,Sticklinge,2025-03-17 06:51:14,2025-03-17 06:58:01,6.8,FM-topp,Vardag,Ropsten,Kalvhagsvägen,59.357418060302734,18.10204696655273,59.37179946899414,18.13263320922852,2358.1,20.8,0.0,0.0,Ropsten → Kalvhagsvägen,4.9
observed,9031001003007248,Nobina,809,-,Gullmarsplan,834,-,Handens station,2025-03-17 06:51:42,2025-03-17 07:14:05,22.4,FM-topp,Vardag,Gullmarsplan,Handens station,59.29890823364258,18.08171272277832,59.16650390625,18.136716842651367,15051.5,40.3,0.0,0.0,Gullmarsplan → Handens station,17.2
observed,9031001003002491,Nobina,401,-,Slussen,401,-,Slussen,2025-03-17 06:52:51,2025-03-17 07:02:05,9.2,FM-topp,Vardag,Flatenbadet,Kolarängen,59.25289535522461,18.16313362121582,59.27312088012695,18.176258087158203,2369.4,15.5,0.0,0.0,Flatenbadet → Kolarängen,5.7
observed,9031001001001611,Keolis,119,-,Persikogatan,116,-,Spånga station,2025-03-17 06:53:55,2025-03-17 06:59:01,5.1,FM-topp,Vardag,Persikogatan,Loviselundsvägen,59.36398696899414,17.83465576171875,59.37295913696289,17.817087173461914,1409.3,16.6,0.0,0.0,Persikogatan → Loviselundsvägen,3.4
observed,9031001001004927,Nobina,179,-,Sollentuna station,179,-,Vällingby,2025-03-17 06:54:11,2025-03-17 07:17:00,22.8,FM-topp,Vardag,Sollentuna station,Lunda industri,59.429046630859375,17.948366165161133,59.39469528198242,17.874080657958984,5679.6,14.9,0.0,0.0,Sollentuna station → Lunda industri,12.7
observed,9031001001004502,Övrigt,238,-,Näset,921,-,Jupitervägen,2025-03-17 06:57:46,2025-03-17 07:08:01,10.2,FM-topp,Vardag,Näset,Kottlasjön,59.37317657470703,18.14176368713379,59.34883880615234,18.17306327819824,3235.7,19.0,0.0,0.0,Näset → Kottlasjön,7.8
observed,9031001001007172,Keolis,76,-,Ropsten,69,-,Centralen,2025-03-17 07:00:41,2025-03-17 07:20:02,19.4,FM-topp,Vardag,Ropsten,Centralen,59.358001708984375,18.104251861572266,59.33011245727539,18.05324935913086,4240.1,13.1,0.0,0.0,Ropsten → Centralen,11.4
observed,9031001001001200,Nobina,155,-,Akalla,112,-,Spånga station,2025-03-17 07:01:45,2025-03-17 07:06:01,4.3,FM-topp,Vardag,Akalla,Hästa gård,59.4154052734375,17.913297653198242,59.411170959472656,17.895984649658203,1086.9,15.2,0.0,0.0,Akalla → Hästa gård,2.6
observed,9031001001007170,Keolis,76,-,Frihamnen,76,-,Ropsten,2025-03-17 07:03:26,2025-03-17 07:07:01,3.6,FM-topp,Vardag,Frihamnen,Värtahamnens färjeterminal,59.34109878540039,18.117685317993164,59.34859848022461,18.10782623291016,1003.9,16.7,0.0,0.0,Frihamnen → Värtahamnens färjeterminal,2.7
observed,9031001001001220,Keolis,113,-,Solna centrum,157,-,Danderyds sjukhus,2025-03-17 07:03:41,2025-03-17 07:22:02,18.4,FM-topp,Vardag,Solna centrum,Danderyds sjukhus,59.35853958129883,17.99801254272461,59.390419006347656,18.043460845947266,4381.0,14.3,0.0,0.0,Solna centrum → Danderyds sjukhus,10.4
observed,9031001001007639,Keolis,523,-,Rudbecksskolan,514,-,Sollentuna station,2025-03-17 07:06:12,2025-03-17 07:15:02,8.8,FM-topp,Vardag,Rudbecksskolan,Sollentuna station,59.44490051269531,17.955005645751953,59.4300422668457,17.947240829467773,1709.5,11.7,0.0,0.0,Rudbecksskolan → Sollentuna station,4.7
observed,9031001001007198,Keolis,222,-,Ropsten,222,-,Södergarnsvägen,2025-03-17 07:07:01,2025-03-17 07:10:01,3.0,FM-topp,Vardag,Ropsten,Torsvik,59.35719680786133,18.102182388305664,59.36125564575195,18.11237525939941,733.0,14.7,0.0,0.0,Ropsten → Torsvik,1.8
observed,9031001001004962,Keolis,504,-,Hallonbergen,504,-,Skrivargatan,2025-03-17 07:07:48,2025-03-17 07:12:01,4.2,FM-topp,Vardag,Hallonbergen,Ursvik,59.37569046020508,17.970279693603516,59.3795051574707,17.960636138916016,691.6,9.9,0.0,0.0,Hallonbergen → Ursvik,2.3
observed,9031001001007822,Keolis,540,-,Universitetet,156,-,Danderyds sjukhus,2025-03-17 07:08:16,2025-03-17 07:16:00,7.7,FM-topp,Vardag,Universitetet,Danderyds sjukhus,59.36543273925781,18.05422019958496,59.39101028442383,18.043426513671875,2909.1,22.7,0.0,0.0,Universitetet → Danderyds sjukhus,5.6
observed,9031001001003700,Keolis,515,-,Sundbybergs station,113,-,Mariehällskyrkan,2025-03-17 07:12:14,2025-03-17 07:16:00,3.8,FM-topp,Vardag,Sundbybergs station,Vegagatan,59.36141586303711,17.973432540893555,59.36650848388672,17.959970474243164,950.0,15.0,0.0,0.0,Sundbybergs station → Vegagatan,2.6
observed,9031001003007242,Nobina,401,-,Sickla strand,401,-,Ekstubben,2025-03-17 07:18:41,2025-03-17 07:32:05,13.4,FM-topp,Vardag,Sickla strand,Älta gård,59.30310821533203,18.12413787841797,59.260231018066406,18.18484878540039,5884.1,26.3,0.0,0.0,Sickla strand → Älta gård,12.6
observed,9031001001004665,Keolis,117,-,Brommaplan,117,-,Kopparbacken,2025-03-17 07:18:59,2025-03-17 07:26:01,7.0,FM-topp,Vardag,Brommaplan,Urban Hjärnes väg,59.33842086791992,17.93804168701172,59.35160446166992,17.918445587158203,1839.4,15.8,0.0,0.0,Brommaplan → Urban Hjärnes väg,4.8
