from_lat,from_lon,to_lat,to_lon,duration_min
59.3411,18.1177,59.3574,18.1034,4.785
59.3474,18.0128,59.3571,18.1048,8.706666666666667
59.4576,17.9788,59.455,17.9587,4.145
59.3479,17.9879,59.3643,17.9938,6.111666666666666
59.2517,18.1737,59.2529,18.1631,1.4883333333333333
59.3614,17.9734,59.3823,17.9001,10.908333333333333
59.4597,17.9424,59.4564,17.9596,3.2183333333333333
59.3411,18.1176,59.3575,18.1045,4.67
59.3595,17.8755,59.2934,18.2093,29.341666666666665
59.3473,18.0106,59.3432,18.1161,11.611666666666668
59.2069,17.9074,59.2103,17.9412,7.206666666666666
59.3572,18.1022,59.3411,18.1153,5.503333333333333
59.3795,17.9779,59.3824,17.9003,8.591666666666667
59.3574,18.102,59.3411,18.1152,5.6850000000000005
59.3899,17.887,59.3886,17.877,1.8166666666666667
59.39,18.0426,59.3655,18.0517,4.155
59.1823,17.4415,59.1786,17.4286,3.746666666666667
59.3574,18.1029,59.3416,18.1149,5.3983333333333325
59.2441,18.2291,59.247,18.2443,5.286666666666666
59.2466,18.244,59.2971,18.0817,17.185
59.3755,17.9698,59.3605,17.9747,7.4816666666666665
59.314,18.231,59.3148,18.0969,10.125
59.3583,17.998,59.3515,18.0221,4.17
59.429,17.9484,59.3634,17.8713,18.84333333333333
59.3863,17.9375,59.3789,17.98,5.746666666666667
59.3383,17.9378,59.3592,17.8756,8.471666666666668
59.3631,17.8711,59.4299,17.9475,17.798333333333336
59.3583,17.9981,59.3524,18.0303,5.42
59.3527,17.8832,59.3436,17.9567,7.778333333333333
59.343,18.048,59.3585,17.9985,8.275
59.3574,18.1028,59.3416,18.1147,6.205
59.3654,18.0538,59.387,18.043,4.655
59.6927,18.5738,59.7216,18.5263,5.75
59.4293,17.948,59.4036,17.9423,7.42
59.3636,17.8715,59.3807,17.8932,6.3
59.4294,17.9479,59.3793,17.9775,14.091666666666667
59.3477,18.0113,59.3147,18.003,4.841666666666667
59.3576,18.1023,59.3429,18.117,4.475
59.3651,18.0537,59.3425,18.1159,8.606666666666666
59.3529,18.0319,59.343,18.048,4.59
59.3893,17.8872,59.3762,17.9708,13.346666666666666
59.3758,17.9701,59.3672,17.9653,4.39
59.3887,17.8879,59.4177,17.92,9.979999999999999
59.3614,17.9735,59.3585,17.9988,4.496666666666667
59.1944,17.7494,59.243,17.8364,8.4
59.2651,18.0652,59.2586,18.0765,2.7
59.3384,17.938,59.3742,17.9033,10.716666666666667
59.189,17.5716,59.1822,17.5993,4.543333333333334
59.3894,17.8864,59.3377,17.9356,14.93
59.1725,18.1693,59.1687,18.1991,4.371666666666667
59.3758,17.9706,59.3813,17.9456,3.878333333333333
59.3798,17.9802,59.4458,17.9411,13.181666666666667
59.3818,17.9011,59.3328,17.9809,12.871666666666666
59.3528,18.0322,59.3534,18.0177,2.268333333333333
59.3615,17.9733,59.3731,17.966,4.306666666666667
59.1706,18.1484,59.1838,18.1472,3.3016666666666667
59.3614,17.9734,59.3805,17.9785,7.35
59.3889,17.8799,59.4229,17.9469,11.683333333333334
59.5146,18.6049,59.4731,18.5171,11.058333333333334
59.315,18.2291,59.315,18.2138,1.99
59.3788,17.9772,59.3534,18.0326,7.631666666666666
59.335,18.0489,59.3477,18.011,8.888333333333332
59.3614,17.9735,59.3588,17.9858,1.885
59.3576,18.1024,59.353,18.0317,8.126666666666667
59.3031,18.0834,59.348,18.109,15.056666666666667
59.3757,17.9703,59.3704,17.9449,5.925
59.3029,18.0835,59.333,18.0513,6.8966666666666665
59.3795,17.9783,59.3341,18.0649,13.558333333333334
59.7681,18.694,60.05,18.5946,45.82166666666667
59.1511,18.1084,59.1699,18.1592,7.201666666666667
59.1911,17.6259,59.182,17.599,5.183333333333334
59.3018,18.0842,59.3534,18.0967,14.246666666666666
59.17,18.1491,59.2559,18.1007,11.754999999999999
59.2475,18.2449,59.2968,18.0821,17.785
59.3472,18.0116,59.3387,18.1004,12.008333333333333
59.3634,17.8718,59.4272,17.9501,17.6
59.2516,18.1756,59.2529,18.1632,1.9566666666666668
59.2308,17.8322,59.2234,17.8365,2.643333333333333
59.3614,17.9735,59.3586,17.9985,3.671666666666667
59.1698,18.1507,59.2558,18.1006,12.193333333333333
59.2247,17.8378,59.2002,17.828,4.42
59.429,17.9484,59.4035,17.9424,7.443333333333333
59.3759,17.9697,59.341,17.9445,11.323333333333332
59.4503,17.8348,59.4778,17.7504,7.805000000000001
